tokenId,name,description,tier,sphere_name,image
55,Futuris Sphere #55 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_6.png
102,Futuris Sphere #102 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_8.png
28,Futuris Sphere #28 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_6.png
38,Futuris Sphere #38 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Rare,Nebulux,Nebulux_2.png
17,Futuris Sphere #17 - Nox,"A sleek, mysterious name symbolizing the unknown depths of space.",Epic,Nox,Nox_5.png
93,Futuris Sphere #93 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Common,Nyxara,Nyxara_5.png
84,Futuris Sphere #84 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_3.png
103,Futuris Sphere #103 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_1.png
52,Futuris Sphere #52 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_3.png
76,Futuris Sphere #76 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Common,Eclion,Eclion_1.png
44,Futuris Sphere #44 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Rare,Nyxara,Nyxara_1.png
106,Futuris Sphere #106 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_4.png
59,Futuris Sphere #59 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_3.png
20,Futuris Sphere #20 - Halois,"A celestial take on 'halo,' representing a radiant glow.",Epic,Halois,Halois_3.png
64,Futuris Sphere #64 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_8.png
104,Futuris Sphere #104 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_2.png
107,Futuris Sphere #107 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_5.png
63,Futuris Sphere #63 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_7.png
21,Futuris Sphere #21 - Halois,"A celestial take on 'halo,' representing a radiant glow.",Epic,Halois,Halois_4.png
23,Futuris Sphere #23 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_1.png
53,Futuris Sphere #53 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_4.png
2,Futuris Sphere #2 - Zyphos,"A futuristic, sci-fi-inspired name for a hyper-tech sphere.",Legendary,Zyphos,Zyphos_2.png
35,Futuris Sphere #35 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Rare,Eclion,Eclion_5.png
22,Futuris Sphere #22 - Halois,"A celestial take on 'halo,' representing a radiant glow.",Epic,Halois,Halois_5.png
111,Futuris Sphere #111 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_9.png
25,Futuris Sphere #25 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_3.png
81,Futuris Sphere #81 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Common,Eclion,Eclion_6.png
72,Futuris Sphere #72 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_7.png
10,Futuris Sphere #10 - Lumirion,"A mix of 'luminosity' and 'orion,' evoking cosmic brilliance.",Legendary,Lumirion,Lumirion_4.png
85,Futuris Sphere #85 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_4.png
70,Futuris Sphere #70 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_5.png
92,Futuris Sphere #92 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Common,Nyxara,Nyxara_4.png
74,Futuris Sphere #74 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_9.png
60,Futuris Sphere #60 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_4.png
109,Futuris Sphere #109 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_7.png
57,Futuris Sphere #57 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_1.png
34,Futuris Sphere #34 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Rare,Eclion,Eclion_4.png
13,Futuris Sphere #13 - Nox,"A sleek, mysterious name symbolizing the unknown depths of space.",Epic,Nox,Nox_1.png
15,Futuris Sphere #15 - Nox,"A sleek, mysterious name symbolizing the unknown depths of space.",Epic,Nox,Nox_3.png
99,Futuris Sphere #99 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_5.png
11,Futuris Sphere #11 - Lumirion,"A mix of 'luminosity' and 'orion,' evoking cosmic brilliance.",Legendary,Lumirion,Lumirion_5.png
37,Futuris Sphere #37 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Rare,Nebulux,Nebulux_1.png
62,Futuris Sphere #62 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_6.png
50,Futuris Sphere #50 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_1.png
90,Futuris Sphere #90 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Common,Nyxara,Nyxara_2.png
88,Futuris Sphere #88 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_7.png
71,Futuris Sphere #71 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_6.png
39,Futuris Sphere #39 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Rare,Nebulux,Nebulux_3.png
83,Futuris Sphere #83 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_2.png
75,Futuris Sphere #75 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_10.png
18,Futuris Sphere #18 - Halois,"A celestial take on 'halo,' representing a radiant glow.",Epic,Halois,Halois_1.png
82,Futuris Sphere #82 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_1.png
105,Futuris Sphere #105 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_3.png
89,Futuris Sphere #89 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Common,Nyxara,Nyxara_1.png
86,Futuris Sphere #86 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_5.png
46,Futuris Sphere #46 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Rare,Nyxara,Nyxara_3.png
45,Futuris Sphere #45 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Rare,Nyxara,Nyxara_2.png
19,Futuris Sphere #19 - Halois,"A celestial take on 'halo,' representing a radiant glow.",Epic,Halois,Halois_2.png
14,Futuris Sphere #14 - Nox,"A sleek, mysterious name symbolizing the unknown depths of space.",Epic,Nox,Nox_2.png
68,Futuris Sphere #68 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_3.png
101,Futuris Sphere #101 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_7.png
95,Futuris Sphere #95 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_1.png
30,Futuris Sphere #30 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_8.png
80,Futuris Sphere #80 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Common,Eclion,Eclion_5.png
61,Futuris Sphere #61 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_5.png
110,Futuris Sphere #110 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_8.png
69,Futuris Sphere #69 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_4.png
78,Futuris Sphere #78 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Common,Eclion,Eclion_3.png
29,Futuris Sphere #29 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_7.png
87,Futuris Sphere #87 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Common,Nebulux,Nebulux_6.png
1,Futuris Sphere #1 - Zyphos,"A futuristic, sci-fi-inspired name for a hyper-tech sphere.",Legendary,Zyphos,Zyphos_1.png
79,Futuris Sphere #79 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Common,Eclion,Eclion_4.png
77,Futuris Sphere #77 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Common,Eclion,Eclion_2.png
49,Futuris Sphere #49 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Rare,Nyxara,Nyxara_6.png
12,Futuris Sphere #12 - Lumirion,"A mix of 'luminosity' and 'orion,' evoking cosmic brilliance.",Legendary,Lumirion,Lumirion_6.png
32,Futuris Sphere #32 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Rare,Eclion,Eclion_2.png
27,Futuris Sphere #27 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_5.png
56,Futuris Sphere #56 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_7.png
100,Futuris Sphere #100 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_6.png
58,Futuris Sphere #58 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_2.png
40,Futuris Sphere #40 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Rare,Nebulux,Nebulux_4.png
9,Futuris Sphere #9 - Lumirion,"A mix of 'luminosity' and 'orion,' evoking cosmic brilliance.",Legendary,Lumirion,Lumirion_3.png
94,Futuris Sphere #94 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Common,Nyxara,Nyxara_6.png
4,Futuris Sphere #4 - Zyphos,"A futuristic, sci-fi-inspired name for a hyper-tech sphere.",Legendary,Zyphos,Zyphos_4.png
47,Futuris Sphere #47 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Rare,Nyxara,Nyxara_4.png
51,Futuris Sphere #51 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_2.png
16,Futuris Sphere #16 - Nox,"A sleek, mysterious name symbolizing the unknown depths of space.",Epic,Nox,Nox_4.png
33,Futuris Sphere #33 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Rare,Eclion,Eclion_3.png
48,Futuris Sphere #48 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Rare,Nyxara,Nyxara_5.png
7,Futuris Sphere #7 - Lumirion,"A mix of 'luminosity' and 'orion,' evoking cosmic brilliance.",Legendary,Lumirion,Lumirion_1.png
73,Futuris Sphere #73 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_8.png
31,Futuris Sphere #31 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Rare,Eclion,Eclion_1.png
8,Futuris Sphere #8 - Lumirion,"A mix of 'luminosity' and 'orion,' evoking cosmic brilliance.",Legendary,Lumirion,Lumirion_2.png
108,Futuris Sphere #108 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Common,Solara,Solara_6.png
5,Futuris Sphere #5 - Zyphos,"A futuristic, sci-fi-inspired name for a hyper-tech sphere.",Legendary,Zyphos,Zyphos_5.png
3,Futuris Sphere #3 - Zyphos,"A futuristic, sci-fi-inspired name for a hyper-tech sphere.",Legendary,Zyphos,Zyphos_3.png
54,Futuris Sphere #54 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Rare,Noctilux,Noctilux_5.png
91,Futuris Sphere #91 - Nyxara,Derived from 'Nyx' (goddess of the night) and 'aura.',Common,Nyxara,Nyxara_3.png
97,Futuris Sphere #97 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_3.png
98,Futuris Sphere #98 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_4.png
42,Futuris Sphere #42 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Rare,Nebulux,Nebulux_6.png
66,Futuris Sphere #66 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_1.png
96,Futuris Sphere #96 - Noctilux,An elegant name that mixes 'noctis' (night) and 'lux' (light).,Common,Noctilux,Noctilux_2.png
36,Futuris Sphere #36 - Eclion,"Inspired by 'eclipse,' with a futuristic twist.",Rare,Eclion,Eclion_6.png
26,Futuris Sphere #26 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_4.png
43,Futuris Sphere #43 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Rare,Nebulux,Nebulux_7.png
67,Futuris Sphere #67 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Common,Aurivis,Aurivis_2.png
41,Futuris Sphere #41 - Nebulux,"A mix of 'nebula' and 'lux' (light), glowing like interstellar dust.",Rare,Nebulux,Nebulux_5.png
65,Futuris Sphere #65 - Solara,"Inspired by solar energy, radiating warmth and brilliance.",Rare,Solara,Solara_9.png
6,Futuris Sphere #6 - Zyphos,"A futuristic, sci-fi-inspired name for a hyper-tech sphere.",Legendary,Zyphos,Zyphos_6.png
24,Futuris Sphere #24 - Aurivis,"A mix of 'aura' and 'vis' (Latin for force), symbolizing power.",Rare,Aurivis,Aurivis_2.png
